zpid,address,cityname,state,zipcode,latitude,longitude,title,square_feet,price,bedrooms
450681751,2741 Addlestone Cir,High Pt,NC,27265,36.037437,-79.96586,Evolve at Deep River,,1759,2
450681751,2741 Addlestone Cir,High Pt,NC,27265,36.037437,-79.96586,Evolve at Deep River,,1975,3
2065527602,400 10th St NW,Charlottesville,VA,22902,38.037457,-78.49154,10th & Dairy,,1837,1
2065527602,400 10th St NW,Charlottesville,VA,22902,38.037457,-78.49154,10th & Dairy,,2575,2
2092985906,301 Commons Park S,Stamford,CT,06902,41.041084,-73.539734,Postmark Apartments,,2675,1
2092985906,301 Commons Park S,Stamford,CT,06902,41.041084,-73.539734,Postmark Apartments,,3840,2
452030170,1300 Fordham Blvd,Chapel Hill,NC,27514,35.93292,-79.02437,Bell Chapel Hill,,1600,0
452030170,1300 Fordham Blvd,Chapel Hill,NC,27514,35.93292,-79.02437,Bell Chapel Hill,,1615,1
452030170,1300 Fordham Blvd,Chapel Hill,NC,27514,35.93292,-79.02437,Bell Chapel Hill,,2075,2
2053584978,2401 Washington Ave #5D,Philadelphia,PA,19146,39.94022,-75.18397,,849.0,2175,2
349447544,2401 Washington Ave #3E,Philadelphia,PA,19146,39.94017,-75.18376,"2401 Washington Ave, 3E",625.0,1800,1
2077706236,501 Roosevelt Blvd,Falls Church,VA,22044,38.87638,-77.15422,Falls Green,,1687,0
2077706236,501 Roosevelt Blvd,Falls Church,VA,22044,38.87638,-77.15422,Falls Green,,1909,1
2077706236,501 Roosevelt Blvd,Falls Church,VA,22044,38.87638,-77.15422,Falls Green,,2527,2
452122610,5334 Baltimore Ave,Hyattsville,MD,20781,38.95378,-76.94083,Canvas,,1706,0
452122610,5334 Baltimore Ave,Hyattsville,MD,20781,38.95378,-76.94083,Canvas,,1908,1
452122610,5334 Baltimore Ave,Hyattsville,MD,20781,38.95378,-76.94083,Canvas,,2476,2
2054900754,121 Water St,Newton,NJ,07860,41.06466,-74.74595,Water Street Lofts,,2275,1
2054900754,121 Water St,Newton,NJ,07860,41.06466,-74.74595,Water Street Lofts,,2775,2
442468762,1601 Medlin Creek Loop,Raleigh,NC,27607,35.8054,-78.73583,Clairmont at Trinity,,1181,1
442468762,1601 Medlin Creek Loop,Raleigh,NC,27607,35.8054,-78.73583,Clairmont at Trinity,,1467,2
2061509092,20 Maryland Ave,Rockville,MD,20850,39.086864,-77.15079,Fenestra at The Square,,1963,1
2061509092,20 Maryland Ave,Rockville,MD,20850,39.086864,-77.15079,Fenestra at The Square,,2523,2
2088205017,1011 Washington Blvd,Stamford,CT,06901,41.053463,-73.542534,Vela on the Park,,2800,1
2088205017,1011 Washington Blvd,Stamford,CT,06901,41.053463,-73.542534,Vela on the Park,,3835,2
442530387,555 Stewart Ave,Garden City,NY,11530,40.73166,-73.61343,Florent,,5695,2
442530387,555 Stewart Ave,Garden City,NY,11530,40.73166,-73.61343,Florent,,9750,3
453163630,11503 McCormick Rd,Cockeysville,MD,21030,39.49879,-76.65833,Avalon Hunt Valley and Hunt Valley West,,1645,0
453163630,11503 McCormick Rd,Cockeysville,MD,21030,39.49879,-76.65833,Avalon Hunt Valley and Hunt Valley West,,1800,1
453163630,11503 McCormick Rd,Cockeysville,MD,21030,39.49879,-76.65833,Avalon Hunt Valley and Hunt Valley West,,2235,2
453163630,11503 McCormick Rd,Cockeysville,MD,21030,39.49879,-76.65833,Avalon Hunt Valley and Hunt Valley West,,2946,3
455234079,474 Warren St,Jersey City,NJ,07302,40.72447,-74.03779,VYV,,3213,0
455234079,474 Warren St,Jersey City,NJ,07302,40.72447,-74.03779,VYV,,3618,1
455234079,474 Warren St,Jersey City,NJ,07302,40.72447,-74.03779,VYV,,5122,2
442781587,1000 Conestoga Rd,Bryn Mawr,PA,19010,40.023506,-75.32996,Radcliff House,,1995,1
442781587,1000 Conestoga Rd,Bryn Mawr,PA,19010,40.023506,-75.32996,Radcliff House,,2255,2
457587208,533 Front St,Norfolk,VA,23510,36.853786,-76.30146,The Lofts at Front Street,,1780,1
457587208,533 Front St,Norfolk,VA,23510,36.853786,-76.30146,The Lofts at Front Street,,2450,2
457587208,533 Front St,Norfolk,VA,23510,36.853786,-76.30146,The Lofts at Front Street,,2650,3
447550346,222 N West St,Raleigh,NC,27603,35.783516,-78.64533,Alexan Moto,,1604,0
447550346,222 N West St,Raleigh,NC,27603,35.783516,-78.64533,Alexan Moto,,1509,1
447550346,222 N West St,Raleigh,NC,27603,35.783516,-78.64533,Alexan Moto,,2065,2
446891985,1801 N Beauregard St,Alexandria,VA,22311,38.832195,-77.12113,Essen,,1995,1
446891985,1801 N Beauregard St,Alexandria,VA,22311,38.832195,-77.12113,Essen,,2510,2
455422049,43 Baron Dr,Lancaster,PA,17603,40.00689,-76.33777,Mill Creek Manor,,2195,3
456712939,2900 Woods Edge Dr,Painted Post,NY,14870,42.139977,-77.13241,WoodsEdge Apartments,,1549,2
456712939,2900 Woods Edge Dr,Painted Post,NY,14870,42.139977,-77.13241,WoodsEdge Apartments,,2024,3
2096921399,45 Locust St,Haverhill,MA,01830,42.77532,-71.08318,The Cordovan at Haverhill Station,,1980,0
2096921399,45 Locust St,Haverhill,MA,01830,42.77532,-71.08318,The Cordovan at Haverhill Station,,2055,1
2091785687,9122 Baltimore Ave,College Park,MD,20740,39.004765,-76.93103,Monument Village at College Park,,1712,0
2091785687,9122 Baltimore Ave,College Park,MD,20740,39.004765,-76.93103,Monument Village at College Park,,1947,1
2091785687,9122 Baltimore Ave,College Park,MD,20740,39.004765,-76.93103,Monument Village at College Park,,2496,2
400816375,6000 Allentown Andrews Dr,Suitland,MD,20746,38.80745,-76.904724,Towns at Andrews Park,,3399,3
400816375,6000 Allentown Andrews Dr,Suitland,MD,20746,38.80745,-76.904724,Towns at Andrews Park,,3921,4
458216576,118 N Prince St,Lancaster,PA,17603,40.03953,-76.30829,Gallery 118,,1530,0
458216576,118 N Prince St,Lancaster,PA,17603,40.03953,-76.30829,Gallery 118,,1540,1
458216576,118 N Prince St,Lancaster,PA,17603,40.03953,-76.30829,Gallery 118,,2566,2
458216576,118 N Prince St,Lancaster,PA,17603,40.03953,-76.30829,Gallery 118,,4243,3
458543933,472-474 Roxborough Ave,Philadelphia,PA,19128,40.02955,-75.21272,472 Roxborough Ave,,1600,1
458543933,472-474 Roxborough Ave,Philadelphia,PA,19128,40.02955,-75.21272,472 Roxborough Ave,,2200,2
458548933,257 N State Hwy,Springfield,PA,19064,39.941486,-75.33561,Rolling Green Apartments,,1975,2
457883280,110 D St SE,Washington,DC,20003,38.88535,-77.00508,Hill House Apartments,,2053,0
347936970,24 Post Rd,Duxbury,MA,02332,42.015915,-70.72337,The Elm at Island Creek Village,,2390,1
347936970,24 Post Rd,Duxbury,MA,02332,42.015915,-70.72337,The Elm at Island Creek Village,,2710,2
2098075203,145 Monmouth St UNIT 207,Red Bank,NJ,07701,40.348934,-74.072586,"Station Place On Monmouth LLC, 2BR/2BA",1069.0,3250,2
458599864,15 W 7th St,Richmond,VA,23224,37.52438,-77.44062,Commodore Old Town Manchester,,1580,1
458599864,15 W 7th St,Richmond,VA,23224,37.52438,-77.44062,Commodore Old Town Manchester,,1795,2
458599864,15 W 7th St,Richmond,VA,23224,37.52438,-77.44062,Commodore Old Town Manchester,,2500,3
458710974,2410 Berkshire Pl,Charlottesville,VA,22901,38.065666,-78.49723,Berkshire and Barter Court Apartments,,1442,2
458710974,2410 Berkshire Pl,Charlottesville,VA,22901,38.065666,-78.49723,Berkshire and Barter Court Apartments,,1993,3
2078748768,1531 N Pierce St,Arlington,VA,22209,38.89175,-77.07596,Parc Rosslyn Apartments,,2433,1
2078748768,1531 N Pierce St,Arlington,VA,22209,38.89175,-77.07596,Parc Rosslyn Apartments,,3360,2
2078748768,1531 N Pierce St,Arlington,VA,22209,38.89175,-77.07596,Parc Rosslyn Apartments,,4297,3
2093039754,1 Bridge Ave,Red Bank,NJ,07701,40.35046,-74.07463,West Side Lofts at Red Bank,,2995,1
2093039754,1 Bridge Ave,Red Bank,NJ,07701,40.35046,-74.07463,West Side Lofts at Red Bank,,3950,2
2067515725,550 Morse St NE,Washington,DC,20002,38.907276,-76.99784,Morse Apartment Homes,,2343,1
2067515725,550 Morse St NE,Washington,DC,20002,38.907276,-76.99784,Morse Apartment Homes,,2729,2
446048817,1000 McChesney Hill Loop,Holly Springs,NC,27540,35.67898,-78.80668,Peterson Station at Sunset Lake,,1277,1
446048817,1000 McChesney Hill Loop,Holly Springs,NC,27540,35.67898,-78.80668,Peterson Station at Sunset Lake,,1470,2
446048817,1000 McChesney Hill Loop,Holly Springs,NC,27540,35.67898,-78.80668,Peterson Station at Sunset Lake,,1883,3
457507572,301 Continental Pkwy,Newport News,VA,23602,37.112553,-76.50466,Citizen Apartments,,1750,1
457507572,301 Continental Pkwy,Newport News,VA,23602,37.112553,-76.50466,Citizen Apartments,,2125,2
457507572,301 Continental Pkwy,Newport News,VA,23602,37.112553,-76.50466,Citizen Apartments,,2275,3
374901482,4400 Telfair Blvd,Suitland,MD,20746,38.830257,-76.90974,Midtown at Camp Springs,,1736,0
374901482,4400 Telfair Blvd,Suitland,MD,20746,38.830257,-76.90974,Midtown at Camp Springs,,1889,1
374901482,4400 Telfair Blvd,Suitland,MD,20746,38.830257,-76.90974,Midtown at Camp Springs,,2205,2
374901482,4400 Telfair Blvd,Suitland,MD,20746,38.830257,-76.90974,Midtown at Camp Springs,,3140,3
457215365,201 Oak Ave,Ithaca,NY,14850,42.442207,-76.48277,THE SUMMIT at 201 OAK AVENUE,,2395,0
457215365,201 Oak Ave,Ithaca,NY,14850,42.442207,-76.48277,THE SUMMIT at 201 OAK AVENUE,,2595,1
457215365,201 Oak Ave,Ithaca,NY,14850,42.442207,-76.48277,THE SUMMIT at 201 OAK AVENUE,,3795,2
457215365,201 Oak Ave,Ithaca,NY,14850,42.442207,-76.48277,THE SUMMIT at 201 OAK AVENUE,,4560,3
457215365,201 Oak Ave,Ithaca,NY,14850,42.442207,-76.48277,THE SUMMIT at 201 OAK AVENUE,,7970,4
457215365,201 Oak Ave,Ithaca,NY,14850,42.442207,-76.48277,THE SUMMIT at 201 OAK AVENUE,,9455,5
457215365,201 Oak Ave,Ithaca,NY,14850,42.442207,-76.48277,THE SUMMIT at 201 OAK AVENUE,,10800,6
458591471,6161 Edsall Rd,Alexandria,VA,22304,38.807533,-77.14175,Landmark Ridge,,1872,1
458591471,6161 Edsall Rd,Alexandria,VA,22304,38.807533,-77.14175,Landmark Ridge,,2364,2
455287211,2120 16th St NW,Washington,DC,20009,38.918793,-77.03678,Washington House,,1710,0
455287211,2120 16th St NW,Washington,DC,20009,38.918793,-77.03678,Washington House,,3150,2
458711032,175 W Main St,Somerville,NJ,08876,40.569855,-74.61732,The Edge at Main,,2722,1
458711032,175 W Main St,Somerville,NJ,08876,40.569855,-74.61732,The Edge at Main,,2806,2
433314743,136 W Falls Station Blvd,Falls Church,VA,22043,38.895443,-77.19061,The Alder,,2167,0
433314743,136 W Falls Station Blvd,Falls Church,VA,22043,38.895443,-77.19061,The Alder,,2406,1
433314743,136 W Falls Station Blvd,Falls Church,VA,22043,38.895443,-77.19061,The Alder,,3407,2
454263263,900 N Allen Ave,Richmond,VA,23220,37.558056,-77.45685,The Guild,,1750,1
454263263,900 N Allen Ave,Richmond,VA,23220,37.558056,-77.45685,The Guild,,2300,2
454263263,900 N Allen Ave,Richmond,VA,23220,37.558056,-77.45685,The Guild,,3800,3
2090680528,1800 N Quinn St,Arlington,VA,22209,38.895638,-77.07896,Rosslyn Heights,,2434,1
2090680528,1800 N Quinn St,Arlington,VA,22209,38.895638,-77.07896,Rosslyn Heights,,2898,2
2093925356,1100 Liberty Ave,Pittsburgh,PA,15222,40.444153,-79.992226,The Pennsylvanian,,1261,0
2093925356,1100 Liberty Ave,Pittsburgh,PA,15222,40.444153,-79.992226,The Pennsylvanian,,1455,1
2093925356,1100 Liberty Ave,Pittsburgh,PA,15222,40.444153,-79.992226,The Pennsylvanian,,1849,2
2067232354,200 Cowan St,Pittsburgh,PA,15211,40.427944,-80.010376,Lofts of Mount Washington,,1365,0
